FTID,Form_Title,Collection method,Tool,Patient-friendly label (English),Patient-friendly label (Welsh),Clinician-friendly label
1,ORTHOPAEDICHIP,In-Clinic,Pre-op Oxford Hip (in clinic) ,Orthopaedic Hip Form,Ffurflen Orthopedeg Clun,Hip - Oxford Pre op (in-clinic)
2,ORTHOPAEDICKNEE,In-Clinic,Pre-op Oxford Knee (in clinic) ,Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin,Knee - Oxford Pre op (in-clinic)
7,GENERIC,In-Clinic,Generic Questionnaire,PROMs Generic Form,Ffurflen PROMs,Generic Questionnaire 
8,FOOTANDANKLE,In-Clinic,Pre-op Oxford F&A  (in clinic) ,Foot and Ankle Form,Ffurflen Droed a Phigwrn,Foot and Ankle - Oxford Pre op (in-clinic)
14,ORTHOPAEDICHIP_POSTOP,In-Clinic,Post-op Oxford Hip (in clinic) ,Post Op Orthopaedic Hip Form,Ffurflen Orthopedeg Clun Wedi Gweithdrefn,Hip - Oxford Post op (in clinic)
15,ORTHOPAEDICKNEE_POSTOP,In-Clinic,Post-op Oxford Knee(in clinic) ,Post Op Orthopaedic Knee Form,Ffurflen Orthopedeg Pen-glin Wedi Gweithdrefn,Knee - Oxford Post op (in-clinic)
17,GENERIC_POSTOP,,,,,
19,GENERICQUESTIONS,Remote,,PROMs Generic Questions,Cwestiynau PROMs,Generic Questionnaire
20,OXFORDHIPSCORE,Remote,Oxford hip score,Oxford Hip Score,Sgôr Clun Rhydychen,Hip - Oxford  Form
21,OXFORDKNEESCORE,Remote,Oxford knee score,Oxford Knee Score,Sgôr Pen-glin Rhydychen,Knee - Oxford Form
22,OXFORDSHOULDERSCORE,Remote,Oxford shoulder score,Oxford Shoulder Score,Sgôr Ysgwydd Rhydychen,Shoulder -Oxford Form
24,OXFORDFOOTANDANKLESCORE,Remote,Oxford F&A score,Oxford Foot and Ankle Score,Sgôr Droed a Phigwrn Rhydychen, Foot & Ankle - Oxford Form
25,OXFORDELBOWSCORE,Remote,Oxford elbow score,Oxford Elbow Score,Sgôr Penelin Rhydychen,Elbow - Oxford Form
35,BOSTONCARPALTUNNELSYNDROME,Remote,Boston,Boston Carpal Tunnel Syndrome,Syndrom Twnnel y Carpus Boston,Hand - Carpal Tunnel
36,CATQUEST9SF2011,Remote,,CatQuest-9,CatQuest-9,Cataract - CAT Quest 9sf 
40,HANDPEM,Remote,Post op PEM,Hand Patient Evaluation Measure,Mesuriad Gwerthuso Cleifion Llaw (PEM),Hand - PEM Pre op
