FTID,Pathway
200,Non-condition-specific PROMs pathway
200,Dermatology pathway - Generic
361,Ophthalmology pathway - Cataracts
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
113,NULL
113,NULL
113,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
201,NULL
113,NULL
113,NULL
200,Hip pathway - arthroplasty
113,NULL
113,NULL
113,NULL
345,Hand pathway - General conditions/non-wrist trauma
344,Hand pathway - General conditions/non-wrist trauma
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Knee pathway - non-arthroplasty
331,Knee pathway - non-arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
105,NULL
200,Non-condition-specific PROMs pathway
361,Ophthalmology pathway - Cataracts
200,Ophthalmology pathway - Cataracts
370,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
400,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
300,Hip pathway - arthroplasty
200,Hip pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
302,Hip pathway - arthroplasty
302,Hip pathway - arthroplasty
200,Hip pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
201,NULL
7,NULL
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
2,NULL
19,Non-condition-specific PROMs pathway
2,NULL
7,NULL
2,NULL
2,NULL
19,Non-condition-specific PROMs pathway
1,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
7,NULL
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
1,NULL
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
19,Non-condition-specific PROMs pathway
7,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Hip pathway - arthroplasty
300,Hip pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
360,Ophthalmology pathway - Cataracts
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
360,Ophthalmology pathway - Cataracts
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
300,Hip pathway - arthroplasty
200,Hip pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Knee pathway - non-arthroplasty
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
361,Ophthalmology pathway - Cataracts
200,Ophthalmology pathway - Cataracts
104,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
104,NULL
103,NULL
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
300,Hip pathway - arthroplasty
361,Ophthalmology pathway - Cataracts
103,NULL
200,Ophthalmology pathway - Cataracts
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Hip pathway - arthroplasty
370,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
303,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
303,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
306,Foot and Ankle pathway - non-arthroplasty
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Knee pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
361,Ophthalmology pathway - Cataracts
200,Ophthalmology pathway - Cataracts
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
361,Ophthalmology pathway - Cataracts
200,Ophthalmology pathway - Cataracts
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
312,Shoulder pathway - non-arthroplasty
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Dermatology pathway - Generic
370,Dermatology pathway - Generic
200,Dermatology pathway - Generic
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
101,NULL
200,Non-condition-specific PROMs pathway
361,Ophthalmology pathway - Cataracts
200,Ophthalmology pathway - Cataracts
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
200,Non-condition-specific PROMs pathway
300,Hip pathway - arthroplasty
200,Non-condition-specific PROMs pathway
200,Hip pathway - arthroplasty
